INFO  - 2016-06-09 15:23:09.798; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@530c8e65; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-06-09 15:23:09.798; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-06-09 15:23:09.808; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-06-09 15:23:09.808; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-06-09 15:23:09.808; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-06-09 15:23:09.808; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-06-09 15:23:09.808; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2016-06-09 15:23:09.958; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-06-09 15:23:09.968; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-06-09 15:23:09.978; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-06-09 15:23:09.978; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.978; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.978; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.978; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.988; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.988; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.988; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
